coverage,fetal_fraction,state,mean,variance
500,0.01,1,499.99787,990.6897923610129
500,0.01,2,502.49457,993.2188027031951
500,0.02,1,500.04284,982.3869086034754
500,0.02,2,505.04299,987.996021820102
500,0.03,1,499.84802,969.53851746481
500,0.03,2,507.35469,977.296897972901
500,0.04,1,500.0351,963.1691996820593
500,0.04,2,510.03928,973.6718337999532
500,0.05,1,500.13866,947.3577869822751
500,0.05,2,512.64276,960.0352399347752
500,0.06,1,499.7617,948.2149552595789
500,0.06,2,514.76623,964.4872864599649
500,0.07,1,499.97441,931.3391285431696
500,0.07,2,517.47225,951.222542162931
500,0.08,1,499.90847,924.47553701449
500,0.08,2,519.90548,946.1399073686894
500,0.09,1,499.89601,918.939365473545
500,0.09,2,522.42232,942.6592324097916
500,0.1,1,499.87428,912.2661971435723
500,0.1,2,524.87706,939.5736014924138
500,0.11,1,499.97247,907.8828709277852
500,0.11,2,527.46388,939.2611679571131
500,0.12,1,499.97789,896.5885870337747
500,0.12,2,529.97126,930.769701709348
500,0.13,1,499.96073,888.2191700589447
500,0.13,2,532.48354,926.4080931493792
500,0.14,1,499.9026,880.0865341053101
500,0.14,2,534.88882,919.6870958772188
500,0.15,1,500.1729,878.2055476454791
500,0.15,2,537.6664,923.3132641725966
500,0.16,1,500.11556,864.7367732541286
500,0.16,2,540.14172,909.3429488710202
500,0.17,1,499.90631,855.6025282092005
500,0.17,2,542.38834,906.5790978353383
500,0.18,1,500.06903,854.864373502784
500,0.18,2,545.04496,907.7686362847794
500,0.19,1,499.99433,850.1850997020769
500,0.19,2,547.49453,908.6555566346397
500,0.2,1,500.03808,843.2047819614016
500,0.2,2,550.05729,903.6960648165867
1000,0.01,1,999.87865,1962.0462446399158
1000,0.01,2,1004.88307,1966.393241307552
1000,0.02,1,999.64809,1957.7368467203773
1000,0.02,2,1009.64791,1968.5188478204566
1000,0.03,1,999.86927,1924.23838205101
1000,0.03,2,1014.86018,1940.1935923035403
1000,0.04,1,999.80844,1928.5087898543009
1000,0.04,2,1019.8128,1948.2310384704028
1000,0.05,1,999.86371,1904.6929219651327
1000,0.05,2,1024.85978,1929.5647939995556
1000,0.06,1,1000.22879,1890.185866993698
1000,0.06,2,1030.22878,1923.2680923925075
1000,0.07,1,1000.18427,1858.3950785178733
1000,0.07,2,1035.17807,1896.5208062832367
1000,0.08,1,999.85162,1857.0153935295052
1000,0.08,2,1039.84474,1899.949193824312
1000,0.09,1,1000.27312,1833.8846643122358
1000,0.09,2,1045.26731,1883.8567539314013
1000,0.1,1,1000.11635,1815.9707123847083
1000,0.1,2,1050.14433,1875.5601944530174
1000,0.11,1,999.97214,1805.7301211216059
1000,0.11,2,1055.02182,1869.9918038056203
1000,0.12,1,1000.09856,1798.4359502858524
1000,0.12,2,1060.09044,1864.6353069595207
1000,0.13,1,999.84103,1779.1845703847496
1000,0.13,2,1064.82434,1854.3016065805177
1000,0.14,1,1000.15485,1756.0371318488253
1000,0.14,2,1070.13721,1832.9420128360541
1000,0.15,1,1000.10696,1739.3194927532786
1000,0.15,2,1075.11111,1829.1603561715126
1000,0.16,1,1000.1441,1748.8259434494132
1000,0.16,2,1080.15841,1843.3084093560078
1000,0.17,1,999.87627,1729.2122130092432
1000,0.17,2,1084.81109,1828.7686306979342
1000,0.18,1,999.73492,1696.982402417701
1000,0.18,2,1089.7398,1805.8495144551453
1000,0.19,1,999.85705,1688.1150964484086
1000,0.19,2,1094.9117,1803.3157362673796
1000,0.2,1,1000.05319,1686.1915227390941
1000,0.2,2,1100.02072,1811.2062427440744
1500,0.01,1,1499.92406,2985.8712918292845
1500,0.01,2,1507.43015,2994.5967069445674
1500,0.02,1,1500.14064,2945.372314113567
1500,0.02,2,1515.14207,2960.8785149002065
1500,0.03,1,1499.76724,2903.9393621760637
1500,0.03,2,1522.26962,2925.9951250068284
1500,0.04,1,1500.24136,2898.75821293253
1500,0.04,2,1530.20687,2929.2341871449185
1500,0.05,1,1499.94768,2873.317375791264
1500,0.05,2,1537.44287,2911.501011172939
1500,0.06,1,1500.11197,2834.6523792424255
1500,0.06,2,1545.10722,2882.194425815771
1500,0.07,1,1500.05846,2822.0359227876206
1500,0.07,2,1552.54804,2875.7343895023323
1500,0.08,1,1499.8106,2774.936417004112
1500,0.08,2,1559.78955,2838.108921886307
1500,0.09,1,1500.20237,2746.1020974041553
1500,0.09,2,1567.7069,2817.6075884659217
1500,0.1,1,1500.13006,2729.05911498767
1500,0.1,2,1575.14059,2811.00007445262
1500,0.11,1,1500.21542,2701.12098543348
1500,0.11,2,1582.68704,2793.391869957098
1500,0.12,1,1500.0053,2707.4817667278453
1500,0.12,2,1589.98701,2808.176483024957
1500,0.13,1,1499.95982,2639.353339100899
