sample	locus	read_count	molecule_count
T21-0-1_S1_R1_001	chr2_100955305	1538	198
T21-0-1_S1_R1_001	chr2_101085535	1480	184
T21-0-1_S1_R1_001	chr2_102305387	666	77
T21-0-1_S1_R1_001	chr2_103792960	1352	153
T21-0-1_S1_R1_001	chr2_104792858	1195	152
T21-0-1_S1_R1_001	chr2_108565153	946	116
T21-0-1_S1_R1_001	chr2_112647051	1882	278
T21-0-1_S1_R1_001	chr2_11406302	1475	181
T21-0-1_S1_R1_001	chr21_14788887	1675	188
T21-0-1_S1_R1_001	chr21_14853307	1334	157
T21-0-1_S1_R1_001	chr2_115162453	1535	222
T21-0-1_S1_R1_001	chr2_115162508	0	0
T21-0-1_S1_R1_001	chr21_15494467	1745	255
T21-0-1_S1_R1_001	chr21_15967507	1594	195
T21-0-1_S1_R1_001	chr21_16486166	1779	222
T21-0-1_S1_R1_001	chr2_118224692	1501	226
T21-0-1_S1_R1_001	chr21_18477249	1109	134
T21-0-1_S1_R1_001	chr21_18745264	1284	148
T21-0-1_S1_R1_001	chr21_20262845	1132	121
T21-0-1_S1_R1_001	chr2_120868127	1715	262
T21-0-1_S1_R1_001	chr21_21027729	680	77
T21-0-1_S1_R1_001	chr21_23049826	2020	234
T21-0-1_S1_R1_001	chr21_24075508	890	97
T21-0-1_S1_R1_001	chr21_24738544	934	110
T21-0-1_S1_R1_001	chr21_24844831	1525	186
T21-0-1_S1_R1_001	chr2_125311103	1176	148
T21-0-1_S1_R1_001	chr21_25447962	1137	123
T21-0-1_S1_R1_001	chr21_25930186	1341	182
T21-0-1_S1_R1_001	chr21_26206777	1773	224
T21-0-1_S1_R1_001	chr21_26381471	1355	138
T21-0-1_S1_R1_001	chr21_26966048	2135	225
T21-0-1_S1_R1_001	chr21_27008952	1533	194
T21-0-1_S1_R1_001	chr21_28545265	966	123
T21-0-1_S1_R1_001	chr21_29073899	1569	211
T21-0-1_S1_R1_001	chr21_29121792	1081	139
T21-0-1_S1_R1_001	chr21_29364391	914	113
T21-0-1_S1_R1_001	chr21_31120259	1821	232
T21-0-1_S1_R1_001	chr21_31423663	1280	139
T21-0-1_S1_R1_001	chr21_31657263	1967	228
T21-0-1_S1_R1_001	chr21_31658073	0	0
T21-0-1_S1_R1_001	chr21_31779400	1391	186
T21-0-1_S1_R1_001	chr21_31956365	1154	132
T21-0-1_S1_R1_001	chr21_32338779	1598	191
T21-0-1_S1_R1_001	chr21_32476741	1932	259
T21-0-1_S1_R1_001	chr21_32848925	605	72
T21-0-1_S1_R1_001	chr21_32881012	1947	252
T21-0-1_S1_R1_001	chr21_33024001	1388	162
T21-0-1_S1_R1_001	chr21_33047975	1183	136
T21-0-1_S1_R1_001	chr21_33127293	1463	180
T21-0-1_S1_R1_001	chr21_33533637	1970	235
T21-0-1_S1_R1_001	chr21_33550726	1798	222
T21-0-1_S1_R1_001	chr21_33588250	1349	181
T21-0-1_S1_R1_001	chr21_33880709	1307	158
T21-0-1_S1_R1_001	chr21_33915819	1432	201
T21-0-1_S1_R1_001	chr21_34074498	1534	209
T21-0-1_S1_R1_001	chr21_34761453	1846	252
T21-0-1_S1_R1_001	chr21_35048563	2266	218
T21-0-1_S1_R1_001	chr2_135073864	2197	265
T21-0-1_S1_R1_001	chr21_35205270	1182	133
T21-0-1_S1_R1_001	chr2_135789621	1634	216
T21-0-1_S1_R1_001	chr21_36278065	1657	196
T21-0-1_S1_R1_001	chr21_36460959	1872	239
T21-0-1_S1_R1_001	chr21_36708786	1142	138
T21-0-1_S1_R1_001	chr21_36756660	2016	235
T21-0-1_S1_R1_001	chr21_36881369	1238	155
T21-0-1_S1_R1_001	chr21_37006742	2049	260
T21-0-1_S1_R1_001	chr21_38567086	1371	302
T21-0-1_S1_R1_001	chr21_38759623	964	111
T21-0-1_S1_R1_001	chr21_39062244	1447	165
T21-0-1_S1_R1_001	chr21_39444854	1529	213
T21-0-1_S1_R1_001	chr21_40016085	1551	187
T21-0-1_S1_R1_001	chr21_40178954	1988	230
T21-0-1_S1_R1_001	chr21_40426887	1850	229
T21-0-1_S1_R1_001	chr21_40995931	1357	162
T21-0-1_S1_R1_001	chr21_41225949	1374	174
T21-0-1_S1_R1_001	chr21_41506859	1590	189
T21-0-1_S1_R1_001	chr21_41724413	2399	283
T21-0-1_S1_R1_001	chr21_41768876	1150	127
T21-0-1_S1_R1_001	chr21_41943683	1402	160
T21-0-1_S1_R1_001	chr21_42090223	1804	227
T21-0-1_S1_R1_001	chr21_42138015	1845	222
